siteid,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23
50010110000001,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
50010110000020,2,2,2,2,2,2,2,0,0,1,2,3,3,4,5,7,7,1,0,1,1,2,3,2
50010110000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
50010110000033,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50010110000044,0,0,0,0,0,0,1,0,0,2,2,2,3,3,2,2,3,4,4,4,4,5,4,4
50010110000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0
50010110000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0
50010110000077,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50010110000091,3,3,2,1,1,1,1,1,0,0,0,1,3,3,5,5,5,2,0,3,4,2,2,2
50010110000103,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,2,2,2,1,1,1,1
50010110000107,6,4,4,6,6,6,5,3,1,0,1,2,3,4,5,7,8,5,7,12,11,9,9,9
50010110000120,2,2,1,1,1,1,1,1,1,2,6,8,5,11,11,9,9,10,7,3,3,1,2,2
50010110000137,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1
50010110000152,2,1,1,1,1,1,1,1,0,1,3,4,4,6,4,4,3,1,0,0,2,2,2,2
50010110000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50010110000165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50010110000180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
50010110000187,0,0,0,0,0,0,0,0,1,1,1,3,4,5,7,4,5,3,0,0,0,0,0,0
