SITEID,TITLE,lng,lat
50010510000041,江北****启网吧,106.535,29.5814
50010510000042,江北****儿网吧,106.493,29.5932
50010510000043,江北****会所）,106.551,29.5872
50010510000045,江北****验吧),106.581,29.6169
50010510000046,江北****闲网吧,106.538,29.5771
50010510000049,江北****会所）,106.496,29.5839
50010510000053,江北****奇网吧,106.714,29.6193
50010510000055,江北****络会所,106.654,29.6266
50010510000057,江北****垣网吧,106.503,29.5741
50010510000059,江北****风网吧,106.714,29.6193
50010510000066,江北****会所）,106.539,29.5873
50010510000068,江北****会所）,106.548,29.5771
50010510000069,江北****会所),106.539,29.5804
50010510000074,江北****网络）,106.537,29.5787
50010510000075,江北****会所）,106.545,29.5807
50010510000077,江北****竹网吧,106.758,29.643
50010510000078,江北****会所）,106.538,29.5784
50010510000079,江北****扬网吧,106.491,29.5891
50010510000082,江北****场网吧,106.539,29.5752
50010510000085,江北****会所）,106.487,29.5742
50010510000086,江北****圣网吧,106.564,29.5861
50010510000088,江北****帕网吧,106.542,29.589
50010510000089,江北****城网吧,106.542,29.584
50010510000090,江北****络会所,106.559,29.5824
50010510000091,江北****人网吧,106.49,29.5762
50010510000094,江北****会所）,106.534,29.5649
50010510000096,江北****兰网吧,106.543,29.5753
50010510000097,江北****林网吧,106.495,29.5728
50010510000098,江北****雅网吧,106.534,29.5906
50010510000099,江北****辉网吧,106.714,29.6193
50010510000102,江北****光网吧,106.666,29.6122
50010510000103,江北****会所）,106.498,29.5727
50010510000104,江北****禧网吧,106.533,29.5788
50010510000107,江北****涛网吧,106.576,29.6056
50010510000109,江北****益网吧,106.693,29.5905
50010310000136,渝中****爽网吧,106.559,29.5597
50010310000139,渝中****园网吧,106.565,29.5691
50010310000140,渝中****子网吧,106.556,29.5564
50010310000141,渝中****玲网吧,106.524,29.5436
50010310000142,渝中****天网吧,106.518,29.5362
50010310000145,渝中****网吧,106.559,29.5672
50010310000146,渝中****使网吧,106.542,29.554
50010310000147,渝中****阵网吧,106.586,29.5609
50010310000149,渝中****禧网吧,106.585,29.5623
50010310000150,渝中****天网城,106.526,29.5465
50010310000151,渝中****禾网吧,106.567,29.5633
50010310000152,渝中****光网吧,106.583,29.5559
50010310000157,渝中****秋网吧,106.556,29.5556
50010310000162,渝中****源天地,106.575,29.5628
50010310000163,渝中****感网吧,106.518,29.5362
50010310000165,渝中****境网吧,106.591,29.5652
50010310000167,渝中****网吧）,106.556,29.5587
50010310000172,渝中****黑网吧,106.57,29.5621
50010310000173,渝中****辉网吧,106.58,29.563
50010310000174,渝中****情网吧,106.522,29.5419
50010310000175,渝中****圣网吧,106.573,29.5606
50010310000179,渝中****禾网吧,106.568,29.561
50010310000180,渝中****土网吧,106.56,29.5693
50010310000181,渝中****网吧),106.576,29.5623
50010310000225,渝中****仲网吧,106.574,29.5634
50010310000226,渝中****土网吧,106.585,29.5595
50010310000228,渝中****事通）,106.567,29.5619
50010410000040,大渡****络会所,106.497,29.4954
50010410000041,大渡****昊网吧,106.485,29.4805
50010410000042,大渡****木网吧,106.489,29.4754
50010410000043,大渡****力网吧,106.493,29.4882
50010410000044,大渡****来网吧,106.493,29.4854
50010410000045,大渡****（络）,106.496,29.4954
50010410000046,大渡****击网吧,106.478,29.4162
50010410000047,大渡****腾网吧,106.489,29.4814
50010410000048,大渡****特网吧,106.502,29.4963
50010410000049,大渡****尔网吧,106.503,29.4954
50010410000050,大渡****意网吧,106.485,29.4608
50010410000051,大渡****线网吧,106.486,29.48
50010410000052,大渡****巢网吧,106.486,29.48
50010410000053,大渡****络会所,106.49,29.4848
50010410000055,大渡****下网吧,106.492,29.4953
50010410000056,大渡****蹬网吧,106.439,29.4091
50010410000057,大渡****林网吧,106.483,29.4853
50010510000001,江北****凡网吧,106.538,29.5759
50010510000003,江北****飞网吧,106.493,29.5849
50010310000184,渝中****国网吧,106.552,29.565
50010310000185,渝中****恋网吧,106.524,29.5449
50010310000186,渝中****岸网吧,106.594,29.5695
50010310000187,渝中****浩网吧,106.549,29.5612
50010310000188,渝中****浪网吧,106.538,29.544
50010310000189,渝中****上网吧,106.558,29.557
50010310000190,渝中****网吧),106.577,29.5608
50010310000192,渝中****点网吧,106.532,29.5482
50010310000193,渝中****琦网吧,106.544,29.5546
50010310000195,渝中****间网吧,106.565,29.5693
50010310000196,渝中****牛网吧,106.581,29.5565
50010310000198,（渝****网吧),106.576,29.5603
50010310000199,渝中****村网吧,106.548,29.5586
50010310000200,渝中****5网吧,106.522,29.544
50010310000201,渝中****冻网吧,106.591,29.5617
50010310000202,渝中****网吧）,106.558,29.5677
50010310000206,渝中****团网吧,106.549,29.5612
50010310000207,渝中****网吧),106.552,29.5648
50010310000213,渝中****利网吧,106.568,29.5607
50010310000214,渝中****佳网吧,106.582,29.5588
50010310000215,渝中****琦网吧,106.576,29.5632
50010310000217,渝中****园网吧,106.538,29.544
50010310000218,渝中****点网吧,106.556,29.5659
50010310000220,重庆****江门店,106.578,29.5669
50010510000142,江北****风网城,106.491,29.5879
50010510000143,江北****彩网吧,106.491,29.5718
50010510000145,江北****会所）,106.714,29.6193
50010310000235,渝中****网吧）,106.582,29.5601
50010310000237,渝中****盟网吧,106.585,29.5642
50010310000239,渝中****灿网吧,106.561,29.5661
50010310000241,渝中****田网吧,106.554,29.565
50010310000245,渝中****才网吧,106.57,29.5626
50010310000246,渝中****露网吧,106.523,29.5474
50010310000248,渝中****水网吧,106.524,29.5444
50010310000249,渝中****华网吧,106.569,29.5647
50010310000272,渝中****华网吧,106.59,29.5692
50010310000277,渝中****俱乐部,106.524,29.5449
